,년,월,시간,주야,요일,시도,시군구,사고유형_대분류,면허경과년수,가해자법규위반,성별,연령,사망여부,가해자음주농도,보호장구,안전모_착용여부,도로종류,도로형태_대분류,도로형태,도로선형_대분류,도로선형_중분류,도로선형,교차로형태_대분류,교차로형태,노면상태_대분류,노면상태,기상상태,어린이보호구역여부,시도군구,exists,long,lat
112804,2018,5,23,야,토,경기도,용인시,차량단독,미상,안전운전 의무 불이행,남,36,1,0.05%~0.09%,안전모,착용,군도,교차로,교차로부근,,,,교차로,교차로 - 삼지,포장,젖음/습기,비,N,경기도용인시,1,127.203844444444,37.2314777777777
112811,2018,5,1,야,일,경상북도,경산시,차량단독,15~,안전운전 의무 불이행,남,58,1,0,안전모,,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,비,N,경상북도경산시,1,128.743463888888,35.8220888888888
112917,2018,5,19,야,화,서울시,서초구,차대차,1~4,신호위반,남,46,1,0,안전모,미착용,특별광역시도,교차로,교차로내,직선,직선,내리막,교차로,교차로 - 삼지,포장,건조,맑음,N,서울시서초구,1,127.034811111111,37.4807861111111
113021,2018,5,17,주,목,부산시,부산진구,차대차,15~,중앙선 침범,남,27,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시부산진구,1,129.055319444444,35.1599527777777
113053,2018,5,8,주,금,경기도,안산시,차대차,15~,신호위반,남,17,1,0,안전모,미착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경기도안산시,1,126.846819444444,37.2985194444444
113209,2018,5,10,주,월,경상북도,포항시,차대차,15~,중앙선 침범,남,82,1,0,안전모,미착용,고속국도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도포항시,1,129.361666666666,36.0056861111111
113210,2018,5,11,주,월,전라북도,전주시,차대차,10~14,안전운전 의무 불이행,남,57,1,0,안전모,,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도전주시,1,127.121919444444,35.8091888888888
113240,2018,5,9,주,화,경상북도,포항시,차대차,10~14,신호위반,남,75,1,0,안전모,미착용,일반국도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,경상북도포항시,1,129.361666666666,36.0056861111111
113334,2018,5,19,야,목,충청북도,보은군,차량단독,10~14,안전운전 의무 불이행,남,52,1,0,안전모,착용,군도,단일로,지하차도(도로)내,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,흐림,N,충청북도보은군,1,127.731608333333,36.4865333333333
113355,2018,5,12,주,금,경기도,안양시,차량단독,15~,,남,64,1,0,안전모,,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,비,N,경기도안양시,1,126.953355555555,37.3897
113377,2018,5,19,야,금,경상남도,창원시,차대차,미상,안전운전 의무 불이행,남,51,1,0,안전모,,시도,,,직선,직선,내리막,교차로아님,교차로아님,포장,젖음/습기,비,N,경상남도창원시,1,128.6401544,35.2540033
113386,2018,5,21,야,금,충청북도,단양군,차량단독,1~4,안전운전 의무 불이행,여,71,1,0,안전모,,,단일로,기타단일로,직선,직선,내리막,교차로아님,교차로아님,포장,건조,맑음,N,충청북도단양군,1,128.367841666666,36.9817805555555
113463,2018,5,6,주,일,경기도,고양시,차량단독,1~4,안전운전 의무 불이행,남,18,1,0,안전모,미착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도고양시,1,126.777055555555,37.6559083333333
