,년,월,시간,주야,요일,시도,시군구,사고유형_대분류,면허경과년수,가해자법규위반,성별,연령,사망여부,가해자음주농도,보호장구,안전모_착용여부,도로종류,도로형태_대분류,도로형태,도로선형_대분류,도로선형_중분류,도로선형,교차로형태_대분류,교차로형태,노면상태_대분류,노면상태,기상상태,어린이보호구역여부,시도군구,exists,long,lat
59,2012,1,13,주,화,전라북도,고창군,차대차,미상,안전운전 의무 불이행,남,77,1,0,안전모,착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,눈,N,전라북도고창군,1,126.704108333333,35.4327388888888
144,2012,1,9,주,금,경기도,여주시,차량단독,미상,안전운전 의무 불이행,남,84,1,0,안전모,,일반국도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경기도여주시,1,127.639622222222,37.2953583333333
224,2012,1,18,야,일,전라북도,장수군,차대차,미상,중앙선 침범,남,62,1,0.25%~0.29%,안전모,착용,일반국도,,,직선,직선,오르막,교차로아님,교차로아님,포장,건조,맑음,N,전라북도장수군,1,127.5233,35.6442972222222
280,2012,1,14,주,화,경상북도,예천군,차대차,15~,안전운전 의무 불이행,남,76,1,0,안전모,착용,군도,교차로,교차로내,커브ㆍ곡각 ,우,평지  ,교차로,교차로 - 사지,포장,건조,맑음,N,경상북도예천군,1,128.455022222222,36.65495
318,2012,1,23,야,수,부산시,연제구,철길건널목,5~9,,남,35,1,0.20%~0.24%,,,특별광역시도,철길건널목,철길건널목,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시연제구,1,129.082075,35.1731861111111
366,2012,1,16,주,화,서울시,강서구,차량단독,10~14,안전운전 의무 불이행,남,52,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,서울시강서구,1,126.851675,37.5481555555555
628,2012,1,13,주,금,충청남도,부여군,차대차,10~14,교차로 통행방법 위반,남,73,1,0,안전모,착용,이면도로,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,젖음/습기,비,N,충청남도부여군,1,126.911863888888,36.2728222222222
669,2012,1,17,주,토,충청남도,태안군,차량단독,15~,안전운전 의무 불이행,남,83,1,0.05%~0.09%,안전모,미착용,군도,,,직선,직선,내리막,교차로아님,교차로아님,포장,젖음/습기,맑음,N,충청남도태안군,1,126.299975,36.7426666666666
733,2012,1,19,야,수,인천시,중구,차대차,1~4,안전운전 의무 불이행,남,53,1,0,안전모,착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,젖음/습기,맑음,N,인천시중구,1,126.621761699973,37.4738484305043
752,2012,1,14,주,목,서울시,용산구,차량단독,15~,안전운전 의무 불이행,남,55,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,맑음,N,서울시용산구,1,126.967522222222,37.5360944444444
917,2012,2,11,주,수,울산시,북구,차량단독,미상,안전운전 의무 불이행,남,29,1,0.20%~0.24%,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,울산시북구,1,129.361244971292,35.5827078312412
920,2012,2,17,주,수,부산시,강서구,차대차,5~9,안전운전 의무 불이행,남,53,1,0,안전모,착용,특별광역시도,단일로,횡단보도상,직선,직선,평지,교차로아님,교차로아님,포장,건조,흐림,N,부산시강서구,1,128.982908333333,35.2091638888888
1052,2012,2,20,야,월,서울시,도봉구,차대차,1~4,안전운전 의무 불이행,남,23,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,내리막,교차로아님,교차로아님,포장,건조,맑음,N,서울시도봉구,1,127.049522222222,37.6658333333333
1060,2012,2,1,야,화,강원도,원주시,차량단독,15~,안전운전 의무 불이행,남,32,1,0,안전모,,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,맑음,N,강원도원주시,1,127.922055555555,37.3390833333333
1097,2012,2,15,주,수,경상북도,경주시,차량단독,1~4,안전운전 의무 불이행,남,21,1,0,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경상북도경주시,1,129.227022222222,35.8531694444444
1256,2012,2,11,주,월,서울시,광진구,차대차,15~,안전운전 의무 불이행,남,64,1,0,안전모,착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,서울시광진구,1,127.084533333333,37.5357388888888
1332,2012,2,12,주,수,충청남도,서천군,차대차,15~,중앙선 침범,남,67,1,0,안전모,미착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도서천군,1,126.693888888888,36.0774055555555
1391,2012,2,12,주,금,전라남도,진도군,차량단독,미상,안전운전 의무 불이행,남,63,1,0,,,군도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,흐림,N,전라남도진도군,1,126.265544444444,34.48375
1488,2012,2,12,주,월,충청남도,논산시,차대차,미상,교차로 통행방법 위반,남,64,1,0,안전모,,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,충청남도논산시,1,127.100911111111,36.1842027777777
1519,2012,2,13,주,화,전라남도,영암군,차대차,미상,안전운전 의무 불이행,남,25,1,0,안전모,착용,군도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,흐림,N,전라남도영암군,1,126.698619444444,34.7969888888888
1552,2012,2,8,주,수,전라북도,정읍시,차대차,15~,,남,73,1,0,안전모,착용,지방도,교차로,교차로내,직선,직선,내리막,교차로,교차로 - 삼지,포장,건조,맑음,N,전라북도정읍시,1,126.858111111111,35.5668722222222
1606,2012,2,8,주,금,전라북도,정읍시,차량단독,10~14,안전운전 의무 불이행,남,73,1,0,안전모,착용,일반국도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,전라북도정읍시,1,126.858111111111,35.5668722222222
1675,2012,2,15,주,일,경상북도,영천시,차대차,미상,중앙선 침범,남,17,1,0,,,지방도,단일로,기타단일로,커브ㆍ곡각 ,우,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경상북도영천시,1,128.940775,35.9700527777777
1702,2012,2,18,야,월,경기도,안양시,차량단독,미상,안전운전 의무 불이행,남,69,1,0,안전모,미착용,시도,단일로,기타단일로,직선,직선,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경기도안양시,1,126.953355555555,37.3897
1795,2012,3,12,주,목,경기도,파주시,차량단독,10~14,안전운전 의무 불이행,남,32,1,0,안전모,착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경기도파주시,1,126.781952777777,37.7570833333333
1879,2012,3,17,주,토,전라북도,김제시,차량단독,15~,안전운전 의무 불이행,남,55,1,0,안전모,착용,지방도,교차로,교차로부근,커브ㆍ곡각 ,좌,평지  ,교차로,교차로 - 삼지,포장,건조,맑음,N,전라북도김제시,1,126.882752777777,35.8005749999999
1974,2012,3,17,주,화,인천시,남동구,차량단독,미상,안전운전 의무 불이행,남,23,1,0,안전모,착용,특별광역시도,단일로,기타단일로,커브ㆍ곡각 ,우,내리막,교차로아님,교차로아님,포장,건조,맑음,N,인천시남동구,1,126.730966889481,37.4497106167382
2065,2012,3,20,야,목,충청남도,부여군,차량단독,미상,안전운전 의무 불이행,남,68,1,0,안전모,,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도부여군,1,126.911863888888,36.2728222222222
2083,2012,3,14,주,금,서울시,금천구,차량단독,15~,안전운전 의무 불이행,남,59,1,0,안전모,착용,특별광역시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,서울시금천구,1,126.904197222222,37.4491083333333
2137,2012,3,16,주,토,충청북도,음성군,차대차,15~,안전운전 의무 불이행,남,57,1,0,안전모,착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,충청북도음성군,1,127.692622222222,36.9374055555555
2168,2012,3,15,주,일,강원도,춘천시,차대차,미상,안전운전 의무 불이행,남,45,1,0.05%~0.09%,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,우,오르막,교차로아님,교차로아님,포장,건조,맑음,N,강원도춘천시,1,127.732311111111,37.8785416666666
2171,2012,3,16,주,일,경기도,이천시,차대차,10~14,신호위반,남,73,1,0,안전모,,일반국도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,경기도이천시,1,127.443219444444,37.2754361111111
2198,2012,3,7,주,월,대구시,달서구,차대차,15~,교차로 통행방법 위반,남,81,1,0,안전모,,특별광역시도,교차로,교차로내,커브ㆍ곡각 ,좌,내리막,교차로,교차로 - 삼지,포장,건조,맑음,N,대구시달서구,1,128.532590453916,35.8299774381395
2292,2012,3,20,야,수,경기도,연천군,차대차,15~,중앙선 침범,남,60,1,0,안전모,미착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,흐림,N,경기도연천군,1,127.077066666666,38.0933638888888
2435,2012,3,0,야,일,경기도,동두천시,차량단독,미상,안전운전 의무 불이행,남,32,1,0,안전모,착용,시도,단일로,기타단일로,직선,직선,내리막,교차로아님,교차로아님,포장,건조,맑음,Y,경기도동두천시,1,127.062652777777,37.9009166666666
2469,2012,3,2,야,월,서울시,도봉구,차량단독,15~,안전운전 의무 불이행,남,49,1,0.20%~0.24%,안전모,미착용,특별광역시도,,,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,서울시도봉구,1,127.049522222222,37.6658333333333
2470,2012,3,5,야,월,부산시,금정구,차대사람,15~,안전운전 의무 불이행,남,58,1,0,,,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시금정구,1,129.094319444444,35.2400777777777
2472,2012,3,7,주,월,부산시,북구,차량단독,미상,안전운전 의무 불이행,남,15,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시북구,1,128.992474999999,35.1941805555555
2677,2012,3,12,주,토,충청남도,당진시,차대차,10~14,신호위반,남,39,1,0.05%~0.09%,안전모,미착용,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,충청남도당진시,1,126.630252777777,36.89075
2693,2012,3,16,주,토,경상남도,창녕군,차량단독,15~,안전운전 의무 불이행,남,43,1,0,안전모,착용,일반국도,교차로,교차로내,커브ㆍ곡각 ,우,평지  ,교차로,교차로 - 삼지,포장,건조,맑음,N,경상남도창녕군,1,128.494533333333,35.5415361111111
2868,2012,3,7,주,목,서울시,강서구,차대사람,미상,안전운전 의무 불이행,남,20,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,서울시강서구,1,126.851675,37.5481555555555
2933,2012,3,13,주,금,인천시,남동구,차대차,1~4,안전운전 의무 불이행,남,17,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,인천시남동구,1,126.730966889481,37.4497106167382
2935,2012,3,16,주,금,제주시,제주시,차량단독,미상,안전운전 의무 불이행,남,52,1,0.05%~0.09%,안전모,착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,비,N,제주시제주시,1,126.533208333333,33.4963111111111
2967,2012,3,13,주,토,전라남도,진도군,차량단독,미상,안전운전 의무 불이행,남,73,1,0,안전모,미착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라남도진도군,1,126.265544444444,34.48375
2976,2012,3,16,주,토,경상남도,창원시,차량단독,5~9,안전운전 의무 불이행,남,51,1,0,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경상남도창원시,1,128.6401544,35.2540033
3000,2012,4,2,야,일,경기도,수원시,차량단독,1~4,안전운전 의무 불이행,남,25,1,0.10%~0.14%,안전모,미착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,우,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경기도수원시,1,127.012222222222,37.3010111111111
3025,2012,4,16,주,일,경기도,여주시,차대차,15~,안전운전 의무 불이행,남,40,1,0,안전모,,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도여주시,1,127.639622222222,37.2953583333333
3094,2012,4,23,야,월,인천시,부평구,차대차,미상,안전운전 의무 불이행,남,23,1,0.10%~0.14%,안전모,,특별광역시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 삼지,포장,젖음/습기,비,N,인천시부평구,1,126.721906848531,37.5078420372559
3124,2012,4,11,주,수,경상남도,고성군,차량단독,15~,안전운전 의무 불이행,여,64,1,0,안전모,,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상남도고성군,1,128.324541666666,34.9699
3134,2012,4,16,주,수,충청남도,예산군,차량단독,15~,안전운전 의무 불이행,남,52,1,0,안전모,,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도예산군,1,126.850874999999,36.6798055555555
3219,2012,4,6,주,금,경기도,고양시,차대차,10~14,신호위반,남,36,1,0,안전모,착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경기도고양시,1,126.777055555555,37.6559083333333
3238,2012,4,17,주,금,경상남도,창녕군,차량단독,15~,안전운전 의무 불이행,남,73,1,0.15%~0.19%,안전모,미착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경상남도창녕군,1,128.494533333333,35.5415361111111
3257,2012,4,7,주,토,충청남도,서산시,차량단독,미상,안전운전 의무 불이행,남,73,1,0,안전모,착용,일반국도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도서산시,1,126.452163888888,36.7820972222222
3280,2012,4,15,주,토,경상북도,포항시,차대차,15~,안전운전 의무 불이행,남,66,1,0,안전모,,일반국도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 오지이상,포장,건조,맑음,N,경상북도포항시,1,129.361666666666,36.0056861111111
3305,2012,4,0,야,일,대구시,수성구,차량단독,1~4,안전운전 의무 불이행,남,16,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,직선,직선,오르막,교차로아님,교차로아님,포장,건조,맑음,N,대구시수성구,1,128.632866666666,35.8552083333333
3323,2012,4,14,주,일,경기도,가평군,차대차,1~4,중앙선 침범,남,29,1,0,안전모,착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,우,오르막,교차로아님,교차로아님,포장,건조,맑음,N,경기도가평군,1,127.511777777777,37.8288305555555
3326,2012,4,15,주,일,경기도,가평군,차대차,5~9,안전운전 의무 불이행,남,30,1,0,안전모,착용,일반국도,단일로,교량위,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경기도가평군,1,127.511777777777,37.8288305555555
3339,2012,4,21,야,일,충청남도,논산시,차대사람,미상,안전운전 의무 불이행,남,25,1,0,,,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도논산시,1,127.100911111111,36.1842027777777
3360,2012,4,15,주,월,경상북도,의성군,차대차,미상,안전운전 의무 불이행,여,72,1,0,안전모,착용,일반국도,단일로,기타단일로,직선,직선,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경상북도의성군,1,128.699363888888,36.3497583333333
3410,2012,4,16,주,화,경상북도,경주시,차량단독,1~4,안전운전 의무 불이행,남,67,1,0.25%~0.29%,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도경주시,1,129.227022222222,35.8531694444444
3442,2012,4,2,야,수,경상북도,경주시,차량단독,15~,안전운전 의무 불이행,남,71,1,0,안전모,,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,젖음/습기,비,N,경상북도경주시,1,129.227022222222,35.8531694444444
3492,2012,4,14,주,목,경상남도,고성군,차대차,1~4,안전운전 의무 불이행,여,71,1,0,안전모,미착용,일반국도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경상남도고성군,1,128.324541666666,34.9699
3503,2012,4,18,야,목,강원도,양구군,차량단독,미상,안전운전 의무 불이행,남,78,1,0,안전모,미착용,군도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,강원도양구군,1,127.992244444444,38.1072916666666
3538,2012,4,13,주,금,강원도,강릉시,차대차,15~,신호위반,남,88,1,0,안전모,착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,강원도강릉시,1,128.878497222222,37.7491361111111
3655,2012,4,17,주,일,충청남도,서천군,차대차,10~14,교차로 통행방법 위반,남,90,1,0,안전모,착용,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,충청남도서천군,1,126.693888888888,36.0774055555555
3663,2012,4,20,야,일,충청북도,청주시,차대차,15~,안전운전 의무 불이행,남,66,1,0,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청북도청주시,1,127.511730555555,36.5839972222222
3667,2012,4,21,야,일,경상북도,구미시,차대차,1~4,안전운전 의무 불이행,남,50,1,0.05%~0.09%,안전모,착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경상북도구미시,1,128.346777777777,36.11655
3680,2012,4,10,주,월,충청남도,태안군,차량단독,5~9,안전운전 의무 불이행,남,45,1,0.20%~0.24%,안전모,미착용,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도태안군,1,126.299975,36.7426666666666
3682,2012,4,10,주,월,경상남도,창원시,차대차,15~,안전거리 미확보,남,71,1,0,안전모,착용,시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경상남도창원시,1,128.6401544,35.2540033
3744,2012,4,15,주,화,경상북도,영주시,차대차,15~,신호위반,남,71,1,0,안전모,,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경상북도영주시,1,128.626344444444,36.8029361111111
3765,2012,4,21,야,화,경상남도,합천군,차량단독,미상,안전운전 의무 불이행,남,62,1,0,안전모,미착용,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상남도합천군,1,128.167930555555,35.5636166666666
3806,2012,4,16,주,수,경상북도,영덕군,차대차,미상,중앙선 침범,남,82,1,0.20%~0.24%,안전모,미착용,지방도,교차로,교차로부근,커브ㆍ곡각 ,우,평지  ,교차로,교차로 - 삼지,포장,건조,맑음,N,경상북도영덕군,1,129.368355555555,36.4121027777777
3843,2012,4,12,주,목,부산시,강서구,차대차,미상,안전거리 미확보,여,62,1,0,안전모,,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시강서구,1,128.982908333333,35.2091638888888
3929,2012,4,5,야,토,강원도,홍천군,차량단독,1~4,안전운전 의무 불이행,남,17,1,0.20%~0.24%,안전모,착용,일반국도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,강원도홍천군,1,127.890841666666,37.6944222222222
3958,2012,4,21,야,토,경상북도,구미시,차대차,1~4,안전운전 의무 불이행,남,20,1,0,안전모,,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,비,N,경상북도구미시,1,128.346777777777,36.11655
3973,2012,4,11,주,일,경상북도,김천시,차대차,5~9,안전거리 미확보,남,74,1,0.05%~0.09%,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도김천시,1,128.1158,36.1368972222222
4006,2012,4,8,주,월,부산시,부산진구,차량단독,15~,안전운전 의무 불이행,남,54,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시부산진구,1,129.055319444444,35.1599527777777
4022,2012,4,16,주,월,충청남도,태안군,차량단독,15~,안전운전 의무 불이행,남,38,1,0,안전모,착용,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도태안군,1,126.299975,36.7426666666666
4100,2012,4,2,야,수,경상북도,울진군,차대차,10~14,중앙선 침범,남,57,1,0.15%~0.19%,안전모,,일반국도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도울진군,1,129.402786111111,36.9901861111111
4105,2012,4,9,주,수,경상북도,봉화군,차량단독,10~14,안전운전 의무 불이행,남,77,1,0,안전모,착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,젖음/습기,비,N,경상북도봉화군,1,128.734875,36.8902611111111
4186,2012,4,0,야,금,대구시,북구,차량단독,1~4,안전운전 의무 불이행,남,22,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,대구시북구,1,128.582892353917,35.8858645969598
4209,2012,4,14,주,금,부산시,강서구,차대차,1~4,신호위반,남,58,1,0,안전모,착용,특별광역시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,부산시강서구,1,128.982908333333,35.2091638888888
4251,2012,4,5,야,토,서울시,은평구,차량단독,1~4,안전운전 의무 불이행,남,22,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,내리막,,,포장,건조,맑음,N,서울시은평구,1,126.931241666666,37.5999694444444
4296,2012,4,23,야,토,대구시,수성구,차량단독,미상,안전운전 의무 불이행,남,15,1,0.05%~0.09%,안전모,미착용,특별광역시도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,대구시수성구,1,128.632866666666,35.8552083333333
4313,2012,4,12,주,일,충청북도,보은군,차량단독,15~,안전운전 의무 불이행,남,58,1,0,안전모,착용,일반국도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청북도보은군,1,127.731608333333,36.4865333333333
4523,2012,5,17,주,수,전라북도,정읍시,차량단독,15~,안전운전 의무 불이행,남,74,1,0,안전모,착용,,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도정읍시,1,126.858111111111,35.5668722222222
4542,2012,5,1,야,목,경기도,시흥시,차량단독,미상,안전운전 의무 불이행,남,36,1,0.20%~0.24%,안전모,미착용,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경기도시흥시,1,126.805077777777,37.3773194444444
4543,2012,5,1,야,목,경기도,안양시,차대차,10~14,신호위반,남,37,1,0,안전모,미착용,시도,교차로,교차로내,직선,직선,내리막,교차로,교차로 - 사지,포장,건조,맑음,N,경기도안양시,1,126.953355555555,37.3897
4556,2012,5,12,주,목,전라남도,장성군,차량단독,15~,안전운전 의무 불이행,남,64,1,0,안전모,착용,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라남도장성군,1,126.786975,35.2988111111111
4591,2012,5,22,야,목,경기도,양주시,차량단독,미상,안전운전 의무 불이행,남,59,1,0,안전모,미착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도양주시,1,127.047819444444,37.78245
4640,2012,5,16,주,금,경상남도,밀양시,차량단독,15~,안전운전 의무 불이행,남,62,1,0.15%~0.19%,안전모,미착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경상남도밀양시,1,128.748944444444,35.5007777777777
4683,2012,5,12,주,토,충청남도,천안시,차량단독,15~,안전운전 의무 불이행,남,40,1,0,안전모,착용,일반국도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도천안시,1,127.152466666666,36.804125
4743,2012,5,7,주,일,부산시,사상구,차대차,미상,안전거리 미확보,남,52,1,0.25%~0.29%,안전모,미착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시사상구,1,128.993333333333,35.1494666666666
4756,2012,5,15,주,일,전라북도,부안군,차량단독,15~,안전운전 의무 불이행,남,58,1,0.05%~0.09%,안전모,,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도부안군,1,126.735677777777,35.7285333333333
4776,2012,5,19,야,일,전라북도,익산시,차량단독,15~,안전운전 의무 불이행,남,69,1,0,,,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도익산시,1,126.959852777777,35.9452749999999
4779,2012,5,20,야,일,경기도,고양시,차대차,15~,안전운전 의무 불이행,남,32,1,0,안전모,착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도고양시,1,126.777055555555,37.6559083333333
4946,2012,5,10,주,목,대전시,중구,차대차,10~14,중앙선 침범,남,73,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,대전시중구,1,127.421380984609,36.3258298947226
5004,2012,5,8,주,금,경상남도,김해시,차대차,15~,신호위반,남,76,1,0,안전모,미착용,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,경상남도김해시,1,128.891666666666,35.2255055555555
5052,2012,5,4,야,토,인천시,계양구,차량단독,1~4,안전운전 의무 불이행,남,24,1,0,안전모,착용,특별광역시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,인천시계양구,1,126.737743998125,37.5377072788857
5053,2012,5,7,주,토,인천시,부평구,차량단독,10~14,안전운전 의무 불이행,남,26,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,인천시부평구,1,126.721906848531,37.5078420372559
5070,2012,5,12,주,토,울산시,남구,차대차,1~4,안전운전 의무 불이행,남,79,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,내리막,교차로아님,교차로아님,포장,건조,맑음,N,울산시남구,1,129.330175357608,35.5440426532722
5125,2012,5,14,주,일,전라북도,완주군,차대차,미상,안전거리 미확보,남,77,1,0,,,군도,단일로,교량위,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도완주군,1,127.149597222222,35.8429694444444
5129,2012,5,16,주,일,충청남도,당진시,차대차,15~,중앙선 침범,남,75,1,0,안전모,착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도당진시,1,126.630252777777,36.89075
5200,2012,5,12,주,화,전라북도,완주군,차대차,미상,신호위반,남,62,1,0,안전모,,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,전라북도완주군,1,127.149597222222,35.8429694444444
